time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
54,30 added to ready queue,enqueue,30,,"['27', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
54,31 added to ready queue,enqueue,31,,"['31', '27', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
54,32 added to ready queue,enqueue,32,,"['31', '27', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
55,33 added to ready queue,enqueue,33,,"['31', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
55,34 added to ready queue,enqueue,34,,"['31', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
55,35 added to ready queue,enqueue,35,,"['31', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '35', '25', '20', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
56,36 added to ready queue,enqueue,36,,"['31', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
56,37 added to ready queue,enqueue,37,,"['31', '37', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",[],['28'],"['23', '3', '16']"
56,28 finished CPU → wait queue,cpu_to_io,28,CPU0,"['31', '37', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",['28'],[None],"['23', '3', '16']"
56,3 finished I/O → ready queue,io_to_ready,3,IO1,"['31', '37', '34', '27', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",['28'],[None],"['23', None, '16']"
56,16 finished I/O → ready queue,io_to_ready,16,IO2,"['31', '37', '34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",['28'],[None],"['23', None, None]"
56,31 dispatched to CPU0,dispatch_cpu,31,CPU0,"['37', '34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",['28'],['31'],"['23', None, None]"
56,28 dispatched to IO1,dispatch_io,28,IO1,"['37', '34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5']",[],['31'],"['23', '28', None]"
57,38 added to ready queue,enqueue,38,,"['37', '34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '35', '25', '20', '36', '1', '26', '19', '17', '5', '38']",[],['31'],"['23', '28', None]"
57,39 added to ready queue,enqueue,39,,"['37', '34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '39', '35', '25', '20', '36', '1', '26', '19', '17', '5', '38']",[],['31'],"['23', '28', None]"
57,40 added to ready queue,enqueue,40,,"['37', '34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '40', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '39', '35', '25', '20', '36', '1', '26', '19', '17', '5', '38']",[],['31'],"['23', '28', None]"
58,41 added to ready queue,enqueue,41,,"['37', '34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '40', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '39', '35', '25', '20', '36', '1', '26', '19', '17', '41', '5', '38']",[],['31'],"['23', '28', None]"
58,31 finished CPU → wait queue,cpu_to_io,31,CPU0,"['37', '34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '40', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '39', '35', '25', '20', '36', '1', '26', '19', '17', '41', '5', '38']",['31'],[None],"['23', '28', None]"
58,37 dispatched to CPU0,dispatch_cpu,37,CPU0,"['34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '40', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '39', '35', '25', '20', '36', '1', '26', '19', '17', '41', '5', '38']",['31'],['37'],"['23', '28', None]"
58,31 dispatched to IO2,dispatch_io,31,IO2,"['34', '27', '16', '33', '32', '11', '24', '21', '13', '2', '8', '40', '30', '15', '9', '29', '10', '6', '4', '18', '7', '3', '22', '14', '12', '39', '35', '25', '20', '36', '1', '26', '19', '17', '41', '5', '38']",[],['37'],"['23', '28', '31']"
