time,event,event_type,process,device,ready_queue,wait_queue,cpus,ios
457,1 dispatched to CPU0,dispatch_cpu,1,CPU0,[],"['10', '8', '7', '9']",['1'],['3']
464,1 finished CPU → wait queue,cpu_to_io,1,CPU0,[],"['10', '8', '7', '9', '1']",[None],['3']
469,3 finished I/O → ready queue,io_to_ready,3,IO0,['3'],"['10', '8', '7', '9', '1']",[None],[None]
469,3 dispatched to CPU0,dispatch_cpu,3,CPU0,[],"['10', '8', '7', '9', '1']",['3'],[None]
469,10 dispatched to IO0,dispatch_io,10,IO0,[],"['8', '7', '9', '1']",['3'],['10']
474,3 finished CPU → wait queue,cpu_to_io,3,CPU0,[],"['8', '7', '9', '1', '3']",[None],['10']
494,10 finished I/O → ready queue,io_to_ready,10,IO0,['10'],"['8', '7', '9', '1', '3']",[None],[None]
494,10 dispatched to CPU0,dispatch_cpu,10,CPU0,[],"['8', '7', '9', '1', '3']",['10'],[None]
494,8 dispatched to IO0,dispatch_io,8,IO0,[],"['7', '9', '1', '3']",['10'],['8']
497,10 finished all bursts,finished,10,CPU0,[],"['7', '9', '1', '3']",[None],['8']
510,8 finished I/O → ready queue,io_to_ready,8,IO0,['8'],"['7', '9', '1', '3']",[None],[None]
510,8 dispatched to CPU0,dispatch_cpu,8,CPU0,[],"['7', '9', '1', '3']",['8'],[None]
510,7 dispatched to IO0,dispatch_io,7,IO0,[],"['9', '1', '3']",['8'],['7']
515,8 finished all bursts,finished,8,CPU0,[],"['9', '1', '3']",[None],['7']
523,7 finished I/O → ready queue,io_to_ready,7,IO0,['7'],"['9', '1', '3']",[None],[None]
523,7 dispatched to CPU0,dispatch_cpu,7,CPU0,[],"['9', '1', '3']",['7'],[None]
523,9 dispatched to IO0,dispatch_io,9,IO0,[],"['1', '3']",['7'],['9']
524,7 finished all bursts,finished,7,CPU0,[],"['1', '3']",[None],['9']
541,9 finished I/O → ready queue,io_to_ready,9,IO0,['9'],"['1', '3']",[None],[None]
541,9 dispatched to CPU0,dispatch_cpu,9,CPU0,[],"['1', '3']",['9'],[None]
541,1 dispatched to IO0,dispatch_io,1,IO0,[],['3'],['9'],['1']
547,9 finished CPU → wait queue,cpu_to_io,9,CPU0,[],"['3', '9']",[None],['1']
560,1 finished I/O → ready queue,io_to_ready,1,IO0,['1'],"['3', '9']",[None],[None]
